Jugador,Equipo,Competición,Posición,Edad,Partidos,Minutos,Goles,Asistencias,xG,xAG,npxG,ValorMercado,PasesCompletados,IntentosPase,PctPasesCompletados,DistanciaTotalPases,DistanciaProgresiva,PasesClave,Entradas,Intercepciones,Bloqueos,TarjetasAmarillas,TarjetasRojas,Goles_Asistencias,xG_xAG,Equiv_90min,EntradasGanadas,AsistDesdeCruzados,Tiros,TirosAlArco
Trent Alexander-Arnold,Liverpool,Premier League,DF,26,28,2145,2,6,1.6,6.7,1.6,75000000.0,1321,1787,73.9,25377,10446,50,67,30,25,4,0,8,0.35,23.8,47,20,38,7
Rafael Leão,Milan,Serie A,FW,25,29,2002,6,7,6.4,7.0,6.4,75000000.0,562,749,75.0,9236,2430,55,11,6,11,4,0,13,0.6,22.2,8,10,57,23
Nico Williams,Athletic Club,La Liga,FW,22,25,1811,4,5,3.8,3.1,3.8,70000000.0,461,653,70.6,7130,1645,38,26,6,18,1,0,9,0.34,20.1,16,8,51,18
Pau Cubarsí,Barcelona,La Liga,DF,18,29,2245,0,3,0.7,1.6,0.7,70000000.0,2188,2345,93.3,41149,14343,9,25,13,10,3,0,3,0.09,24.9,17,1,7,0
Eduardo Camavinga,Real Madrid,La Liga,"MF,DF",22,16,877,0,2,0.1,0.5,0.1,70000000.0,586,660,88.8,9750,2590,8,37,14,18,1,0,2,0.07,9.7,21,0,4,0
Bradley Barcola,Paris S-G,Ligue 1,FW,22,28,1832,13,9,12.2,9.2,12.2,70000000.0,598,735,81.4,8122,1869,42,24,16,22,2,0,22,1.05,20.4,14,3,66,32
Rúben Dias,Manchester City,Premier League,DF,27,19,1551,0,0,1.3,0.3,1.3,70000000.0,1498,1598,93.7,25861,8374,5,13,16,13,3,0,0,0.09,17.2,7,0,15,4
Xavi Simons,RB Leipzig,Bundesliga,MF,21,20,1721,7,4,3.7,5.4,3.7,70000000.0,778,978,79.6,12413,3325,42,21,10,11,4,0,11,0.47,19.1,15,4,37,16
Kai Havertz,Arsenal,Premier League,"FW,MF",25,21,1839,9,3,9.4,2.4,9.4,70000000.0,401,511,78.5,4833,1010,16,16,6,22,4,0,12,0.58,20.4,9,1,52,21
Ryan Gravenberch,Liverpool,Premier League,MF,22,30,2561,0,2,0.9,2.8,0.9,70000000.0,1405,1579,89.0,20953,5243,23,54,52,30,5,0,2,0.13,28.5,28,1,15,4
Cody Gakpo,Liverpool,Premier League,FW,25,27,1416,8,3,6.0,3.5,6.0,70000000.0,368,482,76.3,5200,1312,30,23,7,17,4,0,11,0.6,15.7,12,6,44,17
Anthony Gordon,Newcastle Utd,Premier League,FW,24,26,2108,6,5,7.8,4.9,6.3,65000000.0,612,850,72.0,9404,3173,49,28,6,24,2,0,11,0.54,23.4,17,16,52,15
João Neves,Paris S-G,Ligue 1,"MF,DF",20,24,1558,3,8,2.7,3.9,2.7,65000000.0,1269,1399,90.7,20469,4658,31,55,20,25,0,0,11,0.39,17.3,29,2,25,9
Achraf Hakimi,Paris S-G,Ligue 1,DF,26,22,1826,4,6,2.7,6.0,2.7,65000000.0,1697,1913,88.7,22760,6635,47,44,30,24,4,0,10,0.43,20.3,34,9,29,12
