Jugador,Equipo,Competición,Posición,Edad,Partidos,Minutos,Goles,Asistencias,xG,xAG,npxG,ValorMercado,PasesCompletados,IntentosPase,PctPasesCompletados,DistanciaTotalPases,DistanciaProgresiva,PasesClave,Entradas,Intercepciones,Bloqueos,TarjetasAmarillas,TarjetasRojas,Goles_Asistencias,xG_xAG,Equiv_90min,EntradasGanadas,AsistDesdeCruzados,Tiros,TirosAlArco
Keane Lewis-Potter,Brentford,Premier League,"DF,FW",24,30,2459,1,2,2.5,2.0,2.5,23000000.0,787,1019,77.2,12864,3758,20,40,15,24,5,0,3,0.16,27.3,24,12,26,13
Raoul Bellanova,Atalanta,Serie A,DF,24,26,1820,0,6,1.0,3.1,1.0,22000000.0,757,978,77.4,11977,3487,24,18,15,11,3,0,6,0.2,20.2,11,15,16,5
Antoine Griezmann,Atlético Madrid,La Liga,"FW,MF",34,29,2109,8,5,6.2,5.4,4.6,22000000.0,903,1231,73.4,14332,4024,40,29,6,13,2,0,13,0.5,23.4,16,10,38,14
Kiernan Dewsbury-Hall,Chelsea,Premier League,"MF,FW",26,10,200,0,1,0.2,1.0,0.2,22000000.0,106,125,84.8,1622,231,2,5,1,1,0,0,1,0.54,2.2,3,0,1,0
Lorenzo Lucca,Udinese,Serie A,FW,24,30,2149,10,1,6.8,1.5,6.0,22000000.0,223,349,63.9,3530,362,13,9,6,17,9,0,11,0.35,23.9,6,0,54,22
Romelu Lukaku,Napoli,Serie A,FW,31,28,2179,11,8,10.6,3.1,7.4,22000000.0,284,397,71.5,3499,458,28,4,0,5,2,0,19,0.56,24.2,2,0,43,16
Arthur Vermeeren,RB Leipzig,Bundesliga,MF,20,22,1236,0,1,0.2,0.5,0.2,22000000.0,627,738,85.0,9678,2736,8,26,22,30,5,0,1,0.05,13.7,17,0,1,0
Deniz Undav,Stuttgart,Bundesliga,"FW,MF",28,21,1270,7,1,9.2,1.6,9.2,22000000.0,280,399,70.2,4205,1165,14,8,3,6,3,0,8,0.76,14.1,7,1,58,26
Yunus Musah,Milan,Serie A,"MF,FW",22,25,1411,0,2,1.9,1.6,1.9,22000000.0,558,647,86.2,9523,2230,22,24,7,8,5,0,2,0.23,15.7,17,7,21,5
Facundo Buonanotte,Leicester City,Premier League,"FW,MF",20,26,1354,4,2,3.5,2.8,3.5,22000000.0,392,513,76.4,6206,1530,22,48,10,32,7,0,6,0.42,15.0,27,1,29,10
Julio Enciso,Ipswich Town,Premier League,"FW,MF",21,7,430,0,2,0.7,1.0,0.7,22000000.0,106,150,70.7,1671,554,7,0,0,2,3,0,2,0.35,4.8,0,0,20,11
Omari Hutchinson,Ipswich Town,Premier League,"MF,FW",21,27,2223,3,2,2.3,2.5,2.3,22000000.0,581,742,78.3,9129,1609,23,30,10,24,5,0,5,0.19,24.7,11,9,36,16
Vitaly Janelt,Brentford,Premier League,MF,26,29,2157,1,3,0.8,2.2,0.8,22000000.0,848,1024,82.8,14147,4189,13,36,26,30,3,0,4,0.12,24.0,20,7,14,4
Caoimhín Kelleher,Liverpool,Premier League,GK,26,9,810,0,0,0.0,0.0,0.0,22000000.0,254,337,75.4,5548,3502,0,0,0,0,0,0,0,0.0,9.0,0,0,0,0
Jakub Kiwior,Arsenal,Premier League,DF,25,10,492,0,0,0.1,0.2,0.1,22000000.0,246,282,87.2,4539,1407,2,8,1,6,0,0,0,0.05,5.5,3,0,1,0
Maxence Lacroix,Crystal Palace,Premier League,DF,25,27,2424,1,1,2.9,0.4,2.9,22000000.0,996,1209,82.4,20605,8222,4,62,45,37,4,0,2,0.12,26.9,37,1,25,5
Sean Longstaff,Newcastle Utd,Premier League,MF,27,21,746,0,0,0.6,0.2,0.6,22000000.0,273,324,84.3,4068,1120,4,27,6,15,2,0,0,0.09,8.3,16,0,6,1
Lewis Miley,Newcastle Utd,Premier League,MF,18,9,193,1,0,0.5,0.0,0.5,22000000.0,112,126,88.9,1657,270,1,6,2,5,0,0,1,0.27,2.1,5,0,3,2
Iliman Ndiaye,Everton,Premier League,FW,25,26,1973,7,0,4.5,1.5,2.9,22000000.0,471,586,80.4,7190,1520,16,46,17,23,3,0,7,0.27,21.9,24,5,26,10
Eddie Nketiah,Crystal Palace,Premier League,"FW,MF",25,22,750,1,1,3.5,1.5,3.5,22000000.0,140,192,72.9,2079,433,11,12,2,9,5,1,2,0.6,0.0,5,0,31,11
Matt O'Riley,Brighton,Premier League,MF,24,14,544,1,1,1.2,1.2,1.2,22000000.0,203,258,78.7,3067,790,11,15,11,6,1,0,2,0.39,6.0,9,0,14,4
Jarell Quansah,Liverpool,Premier League,DF,22,10,292,0,0,0.0,0.0,0.0,22000000.0,201,221,91.0,3631,1232,0,9,5,4,1,0,0,0.0,3.2,7,0,0,0
Crysencio Summerville,West Ham,Premier League,"FW,MF",23,19,786,1,1,1.6,1.7,1.6,22000000.0,194,254,76.4,2881,640,17,13,0,13,2,0,2,0.38,8.7,7,5,14,4
Aaron Wan-Bissaka,West Ham,Premier League,DF,27,30,2614,2,2,1.0,2.5,1.0,22000000.0,1203,1490,80.7,17259,6343,25,60,52,30,1,0,4,0.12,29.0,42,11,13,4
Oleksandr Zinchenko,Arsenal,Premier League,"DF,MF",28,10,299,0,0,0.2,0.0,0.2,22000000.0,193,243,79.4,3067,724,1,2,3,5,1,0,0,0.05,3.3,0,1,3,0
Aitor Paredes,Athletic Club,La Liga,DF,24,17,1290,3,0,2.2,0.1,2.2,22000000.0,609,723,84.2,13109,4958,2,10,18,17,4,1,3,0.16,14.3,8,0,5,3
Ritsu Doan,Freiburg,Bundesliga,"FW,MF",26,28,2341,8,6,5.7,2.7,5.7,22000000.0,623,877,71.0,9770,3209,21,59,13,44,1,0,14,0.32,26.0,37,10,52,18
Leon Goretzka,Bayern Munich,Bundesliga,MF,30,21,1112,4,1,2.5,1.4,2.5,22000000.0,932,1040,89.6,14581,3744,9,17,13,21,2,0,5,0.31,12.4,9,0,26,9
Amine Adli,Leverkusen,Bundesliga,"MF,FW",24,14,533,2,0,2.2,0.3,2.2,22000000.0,198,269,73.6,2471,529,6,11,0,9,2,0,2,0.41,5.9,6,4,16,5
Enzo Boyomo,Osasuna,La Liga,DF,23,25,2177,2,0,1.3,0.8,1.3,20000000.0,894,1031,86.7,17181,6665,3,49,30,29,5,0,2,0.09,24.2,32,0,2,0
Amine Gouiri,Rennes,Ligue 1,"MF,FW",25,19,1037,3,2,3.5,0.4,3.5,20000000.0,277,354,78.2,3878,899,8,9,2,8,2,0,5,0.34,11.5,6,0,35,15
Miguel Almirón,Newcastle Utd,Premier League,FW,31,9,157,0,0,0.5,0.3,0.5,20000000.0,54,66,81.8,707,219,3,3,0,2,0,0,0,0.45,1.7,2,0,6,2
Angel Gomes,Lille,Ligue 1,MF,24,14,736,1,1,1.7,2.1,0.9,20000000.0,295,364,81.0,4789,1376,14,10,0,0,1,0,2,0.47,8.2,6,3,8,2
Emanuel Emegha,Strasbourg,Ligue 1,FW,22,22,1846,12,2,14.2,2.2,14.2,20000000.0,196,247,79.4,2424,251,14,5,1,15,5,0,14,0.8,20.5,5,0,52,30
Yangel Herrera,Girona,La Liga,MF,27,22,1690,4,3,3.1,1.4,3.1,20000000.0,685,839,81.6,11231,2908,16,51,26,18,9,1,7,0.24,18.8,32,2,30,11
Fikayo Tomori,Milan,Serie A,DF,27,15,1060,0,1,0.1,0.5,0.1,20000000.0,685,740,92.6,12002,4754,6,25,13,10,3,1,1,0.05,11.8,16,2,2,0
Malick Thiaw,Milan,Serie A,DF,23,21,1729,0,0,0.7,0.1,0.7,20000000.0,1137,1224,92.9,22337,7529,4,24,15,14,2,0,0,0.04,19.2,17,0,7,0
Mikel Jauregizar,Athletic Club,La Liga,MF,21,26,1664,2,1,0.7,1.3,0.7,20000000.0,712,875,81.4,13457,3728,21,62,23,17,4,1,3,0.11,18.5,35,1,16,5
James Garner,Everton,Premier League,"MF,DF",24,14,964,0,1,0.1,1.1,0.1,20000000.0,313,447,70.0,5364,1826,10,25,14,13,3,0,1,0.12,10.7,15,2,5,1
Aleix García,Leverkusen,Bundesliga,MF,27,23,1235,3,3,0.9,4.7,0.9,20000000.0,1071,1227,87.3,18566,5422,30,9,8,10,2,0,6,0.41,13.7,5,3,13,3
Jacob Greaves,Ipswich Town,Premier League,DF,24,19,1665,1,0,1.2,0.0,1.2,20000000.0,759,868,87.4,12401,4725,2,27,17,27,4,0,1,0.07,18.5,13,0,8,4
Giovani Lo Celso,Betis,La Liga,"MF,FW",28,18,1113,7,2,4.1,3.6,1.8,20000000.0,548,710,77.2,9214,3311,28,30,5,12,4,0,9,0.63,12.4,19,1,24,11
Filip Jørgensen,Chelsea,Premier League,GK,22,6,540,0,0,0.0,0.0,0.0,20000000.0,158,189,83.6,2843,1649,0,0,0,0,0,0,0,0.0,6.0,0,0,0,0
Amadou Haidara,RB Leipzig,Bundesliga,MF,27,24,1196,0,1,1.1,0.8,1.1,20000000.0,670,833,80.4,10344,3071,4,26,18,37,7,0,1,0.14,13.3,14,2,16,0
Jesper Lindstrøm,Everton,Premier League,FW,25,25,1239,0,1,2.1,2.0,2.1,20000000.0,297,428,69.4,4593,1335,19,45,12,15,2,0,1,0.3,13.8,25,7,28,10
Orel Mangala,Everton,Premier League,MF,27,19,1261,1,0,1.1,0.6,1.1,20000000.0,437,490,89.2,6998,1567,8,16,21,8,2,0,1,0.13,14.0,8,1,16,6
Joan García,Espanyol,La Liga,GK,23,29,2610,0,0,0.1,0.0,0.1,20000000.0,650,930,69.9,18666,14507,0,0,0,1,2,0,0,0.0,29.0,0,0,1,1
Sergio Gómez,Real Sociedad,La Liga,"MF,DF",24,28,2177,1,5,0.8,7.2,0.8,20000000.0,907,1203,75.4,14474,3788,40,59,16,37,3,0,6,0.33,24.2,34,9,15,8
Ange-Yoan Bonny,Parma,Serie A,FW,21,30,1972,6,3,8.7,2.1,6.4,20000000.0,352,465,75.7,5060,1001,25,21,2,14,2,0,9,0.49,21.9,10,2,53,15
Morten Frendrup,Genoa,Serie A,MF,23,30,2653,2,0,1.4,0.7,1.4,20000000.0,913,1079,84.6,13710,2827,10,97,40,52,5,0,2,0.07,29.5,58,0,25,8
Gustav Isaksen,Lazio,Serie A,FW,23,30,1829,3,2,3.1,1.8,3.1,20000000.0,506,657,77.0,8599,1471,30,14,8,17,4,0,5,0.24,20.3,8,10,45,18
Guillaume Restes,Toulouse,Ligue 1,GK,20,22,1913,0,0,0.0,0.0,0.0,20000000.0,448,599,74.8,10335,7067,0,2,1,0,0,0,0,0.0,21.3,1,0,0,0
Georges Mikautadze,Lyon,Ligue 1,FW,24,28,1138,8,4,7.9,3.5,5.5,20000000.0,271,354,76.6,3724,777,14,6,3,8,1,0,12,0.91,12.6,5,0,40,18
Sepp van den Berg,Brentford,Premier League,DF,23,23,1866,0,0,0.8,0.2,0.8,20000000.0,764,911,83.9,12907,4201,4,31,18,43,1,0,0,0.05,20.7,18,1,12,4
Mattia Zaccagni,Lazio,Serie A,FW,29,27,2147,8,6,6.2,3.8,4.6,20000000.0,701,928,75.5,11335,3100,46,31,22,13,8,0,14,0.42,23.9,24,4,42,14
Yan Couto,Dortmund,Bundesliga,"DF,FW",22,18,817,0,0,0.2,0.9,0.2,20000000.0,557,684,81.4,8954,2565,12,23,9,12,5,0,0,0.12,9.1,15,9,5,2
Wout Faes,Leicester City,Premier League,DF,27,27,2185,1,0,1.2,0.1,1.2,20000000.0,1031,1190,86.6,19116,6556,4,35,23,41,3,0,1,0.05,24.3,21,0,10,1
Arnaud Kalimuendo,Rennes,Ligue 1,FW,23,26,2062,13,1,11.7,1.2,6.5,20000000.0,370,470,78.7,5625,1050,14,15,4,8,2,0,14,0.57,22.9,10,1,52,21
Tosin Adarabioyo,Chelsea,Premier League,DF,27,17,1092,1,1,0.9,0.2,0.9,20000000.0,875,960,91.1,16057,5863,1,14,9,7,2,0,2,0.09,12.1,10,0,11,2
Ola Aina,Nott'ham Forest,Premier League,DF,28,30,2569,2,1,0.6,0.7,0.6,20000000.0,839,1145,73.3,12948,5391,11,53,30,32,2,0,3,0.05,28.5,40,7,9,2
Marco Asensio,Aston Villa,Premier League,"MF,FW",29,6,305,3,1,2.1,0.3,2.1,20000000.0,107,131,81.7,1537,372,5,3,1,1,1,0,4,0.7,3.4,2,1,13,7
Julian Ryerson,Dortmund,Bundesliga,DF,27,23,1797,1,2,0.4,3.5,0.4,20000000.0,1047,1215,86.2,17372,4539,29,38,18,26,6,1,3,0.2,20.0,24,19,12,3
Marcus Tavernier,Bournemouth,Premier League,"FW,MF",26,22,1505,3,5,5.2,2.8,5.2,20000000.0,498,690,72.2,8483,2610,36,38,4,12,5,0,8,0.48,16.7,23,9,47,15
Konstantinos Koulierakis,Wolfsburg,Bundesliga,DF,21,25,2018,0,2,0.6,0.9,0.6,20000000.0,1095,1314,83.3,22174,7968,9,34,24,29,3,0,2,0.07,22.4,17,4,16,3
Lovro Majer,Wolfsburg,Bundesliga,MF,27,4,145,2,0,1.1,0.0,0.4,20000000.0,30,45,66.7,371,138,1,0,0,2,1,0,2,0.72,1.6,0,0,2,1
Robert Sánchez,Chelsea,Premier League,GK,27,24,2160,0,0,0.0,0.0,0.0,20000000.0,685,947,72.3,16310,10749,1,0,2,0,5,0,0,0.0,24.0,0,0,0,0
Alex Scott,Bournemouth,Premier League,MF,21,14,503,0,0,0.5,0.3,0.5,20000000.0,207,241,85.9,3355,1064,7,23,9,11,1,0,0,0.14,5.6,11,0,9,4
Iñaki Williams,Athletic Club,La Liga,FW,30,28,2312,5,8,6.2,6.7,6.2,20000000.0,450,729,61.7,6769,1921,32,17,12,28,0,0,13,0.5,25.7,10,14,57,21
Carlos Soler,West Ham,Premier League,"MF,FW",28,26,1180,1,1,1.2,1.1,1.2,20000000.0,462,546,84.6,7287,2030,12,12,8,17,5,0,2,0.18,13.1,10,0,20,6
Lesley Ugochukwu,Southampton,Premier League,MF,21,19,1095,0,1,0.4,1.0,0.4,20000000.0,414,487,85.0,6242,1355,12,42,5,21,4,0,1,0.11,12.2,20,1,7,0
Fábio Silva,Las Palmas,La Liga,FW,22,21,1608,8,2,7.7,1.0,5.3,20000000.0,258,400,64.5,3457,575,12,10,4,11,7,0,10,0.48,17.9,6,3,41,17
Andriy Lunin,Real Madrid,La Liga,GK,26,5,450,0,1,0.0,0.9,0.0,20000000.0,143,165,86.7,3544,2225,1,0,0,0,0,0,1,0.19,5.0,0,0,0,0
Matteo Ruggeri,Atalanta,Serie A,DF,22,24,1527,0,2,0.2,1.7,0.2,20000000.0,969,1144,84.7,15169,4001,20,34,15,25,2,0,2,0.11,17.0,21,18,3,2
Giacomo Raspadori,Napoli,Serie A,"FW,MF",25,18,736,4,0,3.0,1.6,3.0,20000000.0,197,297,66.3,3508,1007,22,11,2,10,1,0,4,0.56,8.2,4,1,26,9
Habib Diarra,Strasbourg,Ligue 1,"MF,FW",21,23,1947,4,3,3.0,4.0,1.4,20000000.0,673,809,83.2,11084,2431,22,19,11,19,6,0,7,0.32,21.6,10,9,22,10
Maximilian Mittelstädt,Stuttgart,Bundesliga,DF,28,25,1953,1,5,0.6,3.9,0.6,20000000.0,1252,1520,82.4,20689,6757,37,69,36,40,5,0,6,0.21,21.7,50,23,12,3
Lamine Camara,Monaco,Ligue 1,MF,21,24,1678,2,6,2.3,3.8,2.3,20000000.0,986,1200,82.2,18017,5309,39,54,24,26,8,1,8,0.33,18.6,33,3,25,8
Jamie Leweling,Stuttgart,Bundesliga,"MF,FW",24,22,1393,2,2,1.1,3.3,1.1,20000000.0,351,499,70.3,5169,1324,20,15,10,21,4,0,4,0.28,15.5,6,9,24,15
Andrew Robertson,Liverpool,Premier League,DF,31,28,2106,0,0,0.9,4.1,0.9,20000000.0,1359,1627,83.5,22802,7155,38,36,20,9,3,1,0,0.22,23.4,21,15,11,2
Saïd Benrahma,Lyon,Ligue 1,"FW,MF",29,13,735,1,3,2.0,2.1,2.0,20000000.0,258,358,72.1,3787,1234,14,9,3,6,0,0,4,0.49,8.2,5,3,17,4
Folarin Balogun,Monaco,Ligue 1,FW,23,9,489,3,0,4.0,0.9,4.0,20000000.0,66,99,66.7,767,120,6,0,1,0,0,0,3,0.89,5.4,0,0,25,6
Sofyan Amrabat,Fiorentina,Serie A,MF,28,2,180,0,0,0.0,0.1,0.0,20000000.0,112,133,84.2,2140,528,2,3,0,1,0,0,0,0.03,2.0,2,0,0,0
José María Giménez,Atlético Madrid,La Liga,DF,30,23,1639,0,1,0.3,0.2,0.3,20000000.0,985,1081,91.1,20354,7522,2,20,22,23,5,0,1,0.03,18.2,13,0,4,1
Jordan Pickford,Everton,Premier League,GK,31,31,2790,0,1,0.0,0.4,0.0,20000000.0,832,1282,64.9,27094,20522,2,1,1,0,6,0,1,0.01,31.0,0,0,0,0
Leonardo Balerdi,Marseille,Ligue 1,DF,26,23,1927,0,0,0.6,0.7,0.6,20000000.0,2117,2252,94.0,35329,13596,8,47,30,24,8,1,0,0.06,21.4,34,0,11,1
Neco Williams,Nott'ham Forest,Premier League,DF,23,28,1964,1,2,2.1,1.4,2.1,20000000.0,611,806,75.8,9246,3745,14,63,23,34,5,0,3,0.16,21.8,37,8,31,6
Óscar Mingueza,Celta Vigo,La Liga,"MF,DF",25,26,2076,3,6,0.9,4.9,0.9,20000000.0,1287,1658,77.6,22549,9174,23,30,16,22,5,1,9,0.26,23.1,18,9,24,7
Andreas Pereira,Fulham,Premier League,MF,29,27,1601,2,4,3.3,3.7,2.5,20000000.0,575,823,69.9,10424,3272,48,22,7,15,7,0,6,0.4,17.8,12,4,30,8
Riccardo Orsolini,Bologna,Serie A,FW,28,22,1374,11,3,7.7,3.2,5.4,20000000.0,345,500,69.0,6125,1845,26,9,7,20,0,0,14,0.72,15.3,8,9,54,21
Dominic Calvert-Lewin,Everton,Premier League,FW,28,22,1574,3,1,6.1,0.6,6.1,20000000.0,174,278,62.6,2035,488,7,9,6,6,2,0,4,0.39,17.5,7,1,46,17
Nicolò Fagioli,Fiorentina,Serie A,MF,24,8,508,0,2,0.2,1.3,0.2,18000000.0,236,290,81.4,3990,1188,8,14,2,4,0,0,2,0.28,5.6,10,0,5,1
Reiss Nelson,Arsenal,Premier League,FW,25,1,3,0,0,0.0,0.0,0.0,18000000.0,0,0,0.0,0,0,0,8,5,11,0,0,0,0.0,5.4,6,0,0,0
Koni De Winter,Genoa,Serie A,DF,22,19,1629,3,0,1.7,0.2,1.7,18000000.0,828,964,85.9,14696,4827,3,26,16,6,5,0,3,0.11,18.1,16,1,12,7
Ander Barrenetxea,Real Sociedad,La Liga,"MF,FW",23,23,967,1,2,1.4,1.2,1.4,18000000.0,295,416,70.9,5014,1159,13,21,9,14,5,0,3,0.25,10.7,15,3,19,5
Sacha Boey,Bayern Munich,Bundesliga,DF,24,9,419,0,1,0.1,1.0,0.1,18000000.0,354,386,91.7,4805,1174,2,14,2,3,1,0,1,0.22,4.7,4,2,2,1
Kyle Walker-Peters,Southampton,Premier League,DF,27,28,2468,0,2,0.6,2.6,0.6,18000000.0,1292,1463,88.3,19567,5559,21,37,15,25,5,0,2,0.12,27.4,23,3,17,5
Renato Veiga,Chelsea,Premier League,"DF,MF",21,7,181,0,0,0.1,0.0,0.1,18000000.0,118,139,84.9,2171,435,0,9,1,3,2,0,0,0.07,2.0,6,0,3,1
Rodrigo Riquelme,Atlético Madrid,La Liga,"DF,MF",25,13,429,0,1,0.7,0.6,0.7,18000000.0,171,217,78.8,2305,606,11,8,1,2,0,0,1,0.28,4.8,3,1,12,4
Wilson Odobert,Tottenham,Premier League,FW,20,9,416,0,0,0.7,0.1,0.7,18000000.0,126,162,77.8,1642,303,4,5,2,3,0,0,0,0.17,4.6,2,2,9,1
Michele Di Gregorio,Juventus,Serie A,GK,27,25,2250,0,0,0.0,0.5,0.0,18000000.0,591,756,78.2,15326,10579,1,0,0,0,0,0,0,0.02,25.0,0,0,0,0
Strahinja Pavlović,Milan,Serie A,DF,23,17,1260,1,1,1.2,1.1,1.2,18000000.0,843,946,89.1,14590,5080,6,38,13,9,2,1,2,0.16,14.0,23,1,12,6
Mathías Olivera,Napoli,Serie A,DF,27,24,1682,0,1,0.6,1.3,0.6,18000000.0,891,1070,83.3,14020,4864,21,52,23,27,3,0,1,0.1,18.7,30,3,10,2
Jean-Ricner Bellegarde,Wolves,Premier League,"MF,FW",26,29,1438,2,6,1.3,3.6,1.3,18000000.0,394,495,79.6,6107,1202,26,30,10,17,3,0,8,0.31,16.0,16,7,20,5
Nadiem Amiri,Mainz 05,Bundesliga,MF,28,25,2025,6,4,4.4,5.7,2.8,18000000.0,1112,1449,76.7,20092,7837,52,38,16,18,7,2,10,0.45,22.5,19,8,48,20
Waldemar Anton,Dortmund,Bundesliga,DF,28,20,1409,0,2,0.8,0.8,0.8,18000000.0,1306,1447,90.3,23864,7182,6,27,16,25,3,0,2,0.1,15.7,18,3,15,1
Igor Zubeldia,Real Sociedad,La Liga,DF,28,24,2021,0,0,0.4,0.4,0.4,18000000.0,1109,1301,85.2,21857,6828,4,32,25,31,6,1,0,0.04,22.5,21,0,10,4
Kristoffer Ajer,Brentford,Premier League,DF,26,17,1213,0,0,0.7,1.2,0.7,18000000.0,433,550,78.7,6821,2474,7,20,11,14,4,0,0,0.14,13.5,14,4,7,2
Beñat Prados,Athletic Club,La Liga,MF,24,23,1295,1,0,0.9,1.0,0.9,18000000.0,513,630,81.4,8481,1962,9,32,22,18,6,0,1,0.13,14.4,20,1,14,5
Ferland Mendy,Real Madrid,La Liga,DF,29,14,1005,0,1,0.0,0.5,0.0,18000000.0,630,671,93.9,9091,2431,3,17,9,11,1,1,1,0.05,11.2,14,0,0,0
Tyler Adams,Bournemouth,Premier League,MF,26,21,1380,0,3,1.2,0.8,1.2,18000000.0,605,726,83.3,9565,2285,13,70,29,24,4,0,3,0.13,15.3,44,1,6,1
Michael Kayode,Fiorentina,Serie A,"DF,FW",20,5,127,0,0,0.1,0.2,0.1,18000000.0,43,68,63.2,688,215,1,1,2,3,0,0,0,0.21,1.4,1,0,1,0
Ivan Ilić,Torino,Serie A,MF,24,13,721,1,0,0.9,0.6,0.9,18000000.0,355,425,83.5,5796,1495,6,3,4,0,3,0,1,0.2,8.0,1,2,9,4
Lloyd Kelly,Juventus,Serie A,DF,26,6,478,0,0,0.3,0.0,0.3,18000000.0,279,332,84.0,4810,1382,0,7,1,5,1,0,0,0.05,5.3,6,0,3,0
Gianluca Mancini,Roma,Serie A,DF,28,29,2423,1,0,1.3,0.8,1.3,18000000.0,1340,1569,85.4,23981,8138,13,32,32,17,5,0,1,0.08,26.9,19,4,16,3
Paul Wanner,Heidenheim,Bundesliga,"MF,FW",19,25,1525,3,1,3.5,1.1,2.7,18000000.0,429,599,71.6,6800,1815,16,32,4,13,2,0,4,0.27,16.9,21,3,23,5
Enzo Le Fée,Roma,Serie A,MF,25,6,318,0,0,0.2,0.1,0.2,18000000.0,226,263,85.9,3851,949,3,7,5,9,1,0,0,0.1,3.5,4,0,4,2
Jhon Lucumí,Bologna,Serie A,DF,26,24,1969,0,1,0.5,0.3,0.5,18000000.0,1433,1573,91.1,27152,8455,7,34,19,26,5,1,1,0.04,21.9,19,0,11,2
Lucas Beltrán,Fiorentina,Serie A,"MF,FW",24,27,1589,4,4,5.1,2.9,2.7,18000000.0,403,514,78.4,6192,1277,27,20,4,13,3,0,8,0.45,17.7,10,3,22,5
Jaka Bijol,Udinese,Serie A,DF,26,29,2610,1,0,2.0,0.5,2.0,18000000.0,1232,1479,83.3,26344,9169,10,38,35,35,8,0,1,0.09,29.0,20,1,19,6
Robin Koch,Eint Frankfurt,Bundesliga,DF,28,24,2046,1,0,1.1,0.1,1.1,18000000.0,1311,1441,91.0,24194,8336,4,17,20,34,3,0,1,0.05,22.7,8,0,12,3
Kelechi Iheanacho,Sevilla,La Liga,FW,28,9,400,0,0,1.5,0.3,1.5,18000000.0,60,80,75.0,831,125,5,1,0,0,0,0,0,0.41,4.4,0,0,9,2
Chris Führich,Stuttgart,Bundesliga,"MF,FW",27,27,1551,1,2,2.1,2.6,2.1,18000000.0,620,785,79.0,8831,2611,24,12,6,21,1,0,3,0.27,17.2,7,9,27,8
Federico Chiesa,Liverpool,Premier League,FW,27,3,28,0,0,0.2,0.0,0.2,18000000.0,15,18,83.3,168,40,0,0,0,1,0,0,0,0.52,0.3,0,0,2,1
Taiwo Awoniyi,Nott'ham Forest,Premier League,FW,27,23,363,1,0,2.1,0.1,2.1,18000000.0,57,87,65.5,629,135,2,6,0,1,0,0,1,0.55,4.0,3,0,10,4
John McGinn,Aston Villa,Premier League,"MF,FW",30,27,1885,0,3,2.2,3.2,2.2,18000000.0,613,737,83.2,10366,2718,26,27,11,16,6,0,3,0.26,20.9,18,7,23,2
Wilfred Ndidi,Leicester City,Premier League,MF,28,21,1735,0,4,1.6,1.7,1.6,18000000.0,597,758,78.8,8352,2148,11,64,19,37,5,0,4,0.17,19.3,36,1,17,8
Ben Chilwell,Crystal Palace,Premier League,DF,28,5,111,0,0,0.1,0.2,0.1,18000000.0,35,55,63.6,485,126,2,4,1,3,1,0,0,0.22,1.2,4,0,2,1
Can Uzun,Eint Frankfurt,Bundesliga,"MF,FW",19,17,568,4,1,2.7,1.1,2.7,18000000.0,201,253,79.4,3212,968,13,8,1,8,1,0,5,0.59,6.3,3,4,25,11
Nathan Tella,Leverkusen,Bundesliga,"MF,FW",25,21,1045,2,2,2.6,0.7,2.6,18000000.0,208,272,76.5,2837,517,11,11,4,11,0,0,4,0.28,11.6,6,0,24,8
Xaver Schlager,RB Leipzig,Bundesliga,MF,27,4,181,0,0,0.1,0.7,0.1,18000000.0,85,98,86.7,1392,408,1,4,0,7,1,0,0,0.38,2.0,2,0,1,0
Benjamin Bourigeaud,Rennes,Ligue 1,MF,31,1,80,1,0,0.2,0.0,0.2,18000000.0,36,48,75.0,646,141,0,1,2,2,0,0,1,0.17,0.9,0,0,2,1
Ludovic Blas,Rennes,Ligue 1,"MF,FW",27,24,1995,6,7,4.7,3.7,4.7,18000000.0,604,814,74.2,10453,3030,44,34,12,16,5,0,13,0.38,22.2,21,9,50,24
Dilane Bakwa,Strasbourg,Ligue 1,"MF,FW",22,23,1918,4,8,3.9,5.1,3.9,18000000.0,577,808,71.4,9763,3080,39,23,9,16,3,0,12,0.42,21.3,12,9,40,18
Alexis Saelemaekers,Roma,Serie A,"DF,FW",25,17,1056,6,2,1.9,2.4,1.9,17000000.0,66,78,84.6,1070,288,2,29,7,11,4,0,8,0.37,1.0,16,0,0,0
Timothy Weah,Juventus,Serie A,"FW,DF",25,22,1304,5,2,3.4,1.4,3.4,17000000.0,533,639,83.4,8458,2171,15,26,11,20,4,0,7,0.33,14.5,15,6,19,8
Emmanuel Agbadou,Reims,Ligue 1,DF,27,14,1260,0,0,0.5,0.3,0.5,17000000.0,810,922,87.9,16521,6962,8,25,19,22,3,0,0,0.06,14.0,17,1,15,3
Tim Kleindienst,Gladbach,Bundesliga,FW,29,25,2202,15,5,12.9,5.2,11.2,17000000.0,383,624,61.4,5344,1318,23,22,9,39,5,1,20,0.74,24.5,13,1,66,33
Konstantinos Mavropanos,West Ham,Premier League,DF,27,27,1759,0,0,1.2,0.5,1.2,17000000.0,911,1065,85.5,18009,6159,4,32,37,20,5,1,0,0.08,19.5,22,1,16,5
Benjamin Henrichs,RB Leipzig,Bundesliga,DF,28,15,935,0,2,0.5,1.4,0.4,17000000.0,360,476,75.6,5784,2051,11,32,15,22,3,0,2,0.18,10.4,16,3,11,1
Rico Henry,Brentford,Premier League,DF,27,1,4,0,0,0.0,0.0,0.0,17000000.0,2,5,40.0,44,28,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0
