Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,stats_xG.1,stats_xAG.1,stats_xG+xAG,stats_npxG.1,stats_npxG+xAG.1,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off.1,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%,first_name,last_name,full_name,market_value_in_eur,highest_market_value_in_eur
Kai Havertz,de GER,"FW,MF",Arsenal,Premier League,25,1999,21,21,"1,839",20.4,9,3,12,9,0,0,4,0,9.4,9.4,2.4,11.8,34,59,110,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58,de GER,"FW,MF",Arsenal,Premier League,25-299,1999,20.4,9,52,21,40.4,2.54,1.03,0.17,0.43,11.7,0,0,0,9.4,9.4,0.18,-0.4,-0.4,de GER,"FW,MF",Arsenal,Premier League,25-299,1999,20.4,401,511,78.5,4833,1010,281,334,84.1,94,114,82.5,5,11,45.5,3,2.4,1.7,0.6,16,26,8,1,59,de GER,"FW,MF",Arsenal,Premier League,25-299,1999,20.4,511,503,6,1,1,0,11,5,0,0,0,0,401,2,11,de GER,"FW,MF",Arsenal,Premier League,25-299,1999,20.4,41,2.01,34,0,1,6,0,0,3,0.15,2,0,0,1,0,0,de GER,"FW,MF",Arsenal,Premier League,25-299,1999,20.4,16,9,3,6,7,4,15,26.7,11,22,4,18,6,22,31,1,de GER,"FW,MF",Arsenal,Premier League,25-299,1999,20.4,768,31,88,282,403,103,768,38,9,23.7,24,63.2,411,1957,922,34,23,18,42,22,575,110,de GER,"FW,MF",Arsenal,Premier League,25-299,1999,21,"1,839",88,65.9,20.4,21,88,18,0,0,1,2.05,39,20,19,0.93,-0.11,33.7,19.0,14.7,0.72,0.06,de GER,"FW,MF",Arsenal,Premier League,25-299,1999,20.4,4,0,0,36,21,14,11,6,9,0,0,0,39,62,73,45.9,Kai,Havertz,Kai Havertz,70000000.0,90000000.0
Bradley Barcola,fr FRA,FW,Paris S-G,Ligue 1,22,2002,28,23,"1,832",20.4,13,9,22,13,0,0,2,0,12.2,12.2,9.2,21.4,115,74,303,0.64,0.44,1.08,0.64,1.08,0.6,0.45,1.05,0.6,1.05,fr FRA,FW,Paris S-G,Ligue 1,22-216,2002,20.4,13,66,32,48.5,3.24,1.57,0.2,0.41,13.2,0,0,0,12.2,12.2,0.19,0.8,0.8,fr FRA,FW,Paris S-G,Ligue 1,22-216,2002,20.4,598,735,81.4,8122,1869,399,448,89.1,169,212,79.7,18,30,60.0,9,9.2,4.5,-0.2,42,21,35,3,74,fr FRA,FW,Paris S-G,Ligue 1,22-216,2002,20.4,735,721,12,5,5,2,22,7,0,0,0,0,598,2,17,fr FRA,FW,Paris S-G,Ligue 1,22-216,2002,20.4,82,4.03,70,0,5,4,2,1,17,0.84,14,0,1,2,0,0,fr FRA,FW,Paris S-G,Ligue 1,22-216,2002,20.4,24,14,8,7,9,6,28,21.4,22,22,2,20,16,40,9,0,fr FRA,FW,Paris S-G,Ligue 1,22-216,2002,20.4,1045,10,71,321,663,183,1045,119,31,26.1,79,66.4,690,4900,2946,115,52,81,56,17,828,303,fr FRA,FW,Paris S-G,Ligue 1,22-216,2002,28,"1,832",65,72.7,20.4,23,74,6,5,27,0,2.64,58,14,44,2.16,0.85,53.7,17.1,36.7,1.8,0.44,fr FRA,FW,Paris S-G,Ligue 1,22-216,2002,20.4,2,0,0,26,19,6,22,16,14,0,0,0,53,10,7,58.8,Bradley,Barcola,Bradley Barcola,70000000.0,70000000.0
Ruben Dias,pt POR,DF,Manchester City,Premier League,27,1997,19,17,"1,551",17.2,0,0,0,0,0,0,3,0,1.3,1.3,0.3,1.5,30,97,6,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.09,0.07,0.09,pt POR,DF,Manchester City,Premier League,27-327,1997,17.2,0,15,4,26.7,0.87,0.23,0.0,0.0,19.5,0,0,0,1.3,1.3,0.08,-1.3,-1.3,pt POR,DF,Manchester City,Premier League,27-327,1997,17.2,1498,1598,93.7,25861,8374,630,650,96.9,770,803,95.9,79,110,71.8,0,0.3,0.8,-0.3,5,141,5,0,97,pt POR,DF,Manchester City,Premier League,27-327,1997,17.2,1598,1547,48,25,0,6,2,2,0,0,0,0,1498,3,12,pt POR,DF,Manchester City,Premier League,27-327,1997,17.2,19,1.1,13,0,0,4,0,2,0,0.0,0,0,0,0,0,0,pt POR,DF,Manchester City,Premier League,27-327,1997,17.2,13,7,5,7,1,5,8,62.5,3,13,11,2,16,29,40,3,pt POR,DF,Manchester City,Premier League,27-327,1997,17.2,1718,156,560,928,232,18,1718,2,1,50.0,1,50.0,1221,7109,4171,30,47,1,5,1,1398,6,pt POR,DF,Manchester City,Premier League,27-327,1997,19,"1,551",82,57.4,17.2,17,90,17,2,11,0,1.95,35,17,18,1.04,1.12,31.7,20.5,11.2,0.65,0.42,pt POR,DF,Manchester City,Premier League,27-327,1997,17.2,3,0,0,8,5,0,2,16,7,0,0,1,53,22,19,53.7,Ruben,Dias,Ruben Dias,70000000.0,80000000.0
Joao Neves,pt POR,"MF,DF",Paris S-G,Ligue 1,20,2004,24,18,"1,558",17.3,3,8,11,3,0,0,0,0,2.7,2.7,3.9,6.7,29,126,60,0.17,0.46,0.64,0.17,0.64,0.16,0.23,0.39,0.16,0.39,pt POR,"MF,DF",Paris S-G,Ligue 1,20-191,2004,17.3,3,25,9,36.0,1.44,0.52,0.12,0.33,13.6,0,0,0,2.7,2.7,0.11,0.3,0.3,pt POR,"MF,DF",Paris S-G,Ligue 1,20-191,2004,17.3,1269,1399,90.7,20469,4658,667,713,93.5,479,514,93.2,92,119,77.3,8,3.9,3.8,4.1,31,122,21,2,126,pt POR,"MF,DF",Paris S-G,Ligue 1,20-191,2004,17.3,1399,1321,76,30,10,15,13,36,0,0,0,0,1269,2,11,pt POR,"MF,DF",Paris S-G,Ligue 1,20-191,2004,17.3,57,3.29,46,1,3,1,3,3,13,0.75,13,0,0,0,0,0,pt POR,"MF,DF",Paris S-G,Ligue 1,20-191,2004,17.3,55,29,17,24,14,24,40,60.0,16,25,8,17,20,75,19,1,pt POR,"MF,DF",Paris S-G,Ligue 1,20-191,2004,17.3,1586,38,275,925,399,47,1586,28,15,53.6,10,35.7,866,4260,1930,29,40,3,20,15,1202,60,pt POR,"MF,DF",Paris S-G,Ligue 1,20-191,2004,24,"1,558",65,61.8,17.3,18,80,10,6,20,3,2.75,56,17,39,2.25,0.85,46.9,18.7,28.2,1.63,-0.14,pt POR,"MF,DF",Paris S-G,Ligue 1,20-191,2004,17.3,0,0,0,13,30,2,13,20,29,0,0,0,107,20,11,64.5,Joao,Neves,Joao Neves,65000000.0,65000000.0
Benjamin Sesko,si SVN,"FW,MF",RB Leipzig,Bundesliga,21,2003,27,25,"1,985",22.1,11,5,16,10,1,1,2,1,7.7,6.9,1.9,8.8,35,38,120,0.5,0.23,0.73,0.45,0.68,0.35,0.09,0.43,0.31,0.4,si SVN,"FW,MF",RB Leipzig,Bundesliga,21-310,2003,22.1,11,55,25,45.5,2.49,1.13,0.18,0.4,16.9,0,1,1,7.7,6.9,0.13,3.3,3.1,si SVN,"FW,MF",RB Leipzig,Bundesliga,21-310,2003,22.1,349,523,66.7,4251,975,229,311,73.6,78,119,65.5,10,16,62.5,5,1.9,1.4,3.1,16,21,9,0,38,si SVN,"FW,MF",RB Leipzig,Bundesliga,21-310,2003,22.1,523,505,16,1,3,1,3,3,0,0,0,0,349,2,22,si SVN,"FW,MF",RB Leipzig,Bundesliga,21-310,2003,22.1,43,1.95,25,0,10,7,1,0,8,0.36,4,0,2,2,0,0,si SVN,"FW,MF",RB Leipzig,Bundesliga,21-310,2003,22.1,7,3,0,4,3,3,10,30.0,7,12,3,9,5,12,19,0,si SVN,"FW,MF",RB Leipzig,Bundesliga,21-310,2003,22.1,764,23,81,403,295,76,763,64,34,53.1,28,43.8,374,2142,976,35,24,12,52,48,587,120,si SVN,"FW,MF",RB Leipzig,Bundesliga,21-310,2003,27,"1,985",74,78.8,22.1,25,77,7,2,26,0,1.63,35,25,10,0.45,0.62,28.7,31.5,-2.8,-0.13,0.01,si SVN,"FW,MF",RB Leipzig,Bundesliga,21-310,2003,22.1,2,1,1,25,15,14,3,5,3,0,0,0,55,61,44,58.1,Benjamin,Sesko,Benjamin Sesko,65000000.0,65000000.0
Achraf Hakimi,ma MAR,DF,Paris S-G,Ligue 1,26,1998,22,21,"1,826",20.3,4,6,10,4,0,0,4,0,2.7,2.7,6.0,8.8,90,159,240,0.2,0.3,0.49,0.2,0.49,0.14,0.3,0.43,0.14,0.43,ma MAR,DF,Paris S-G,Ligue 1,26-153,1998,20.3,4,29,12,41.4,1.43,0.59,0.14,0.33,19.1,5,0,0,2.7,2.7,0.09,1.3,1.3,ma MAR,DF,Paris S-G,Ligue 1,26-153,1998,20.3,1697,1913,88.7,22760,6635,1081,1150,94.0,499,566,88.2,48,75,64.0,6,6.0,4.9,0.0,47,115,33,9,159,ma MAR,DF,Paris S-G,Ligue 1,26-153,1998,20.3,1913,1740,170,30,2,6,71,137,3,0,0,0,1697,3,29,ma MAR,DF,Paris S-G,Ligue 1,26-153,1998,20.3,95,4.68,84,2,3,1,3,2,11,0.54,10,0,1,0,0,0,ma MAR,DF,Paris S-G,Ligue 1,26-153,1998,20.3,44,34,17,17,10,24,48,50.0,24,24,2,22,30,74,15,3,ma MAR,DF,Paris S-G,Ligue 1,26-153,1998,20.3,2122,38,394,879,862,73,2122,45,23,51.1,19,42.2,1223,5506,3288,90,51,19,33,15,1626,240,ma MAR,DF,Paris S-G,Ligue 1,26-153,1998,22,"1,826",83,72.5,20.3,21,86,18,1,17,2,2.73,59,15,44,2.17,0.87,55.6,18.3,37.3,1.84,0.57,ma MAR,DF,Paris S-G,Ligue 1,26-153,1998,20.3,4,0,0,18,23,8,71,30,34,0,0,0,124,8,11,42.1,Achraf,Hakimi,Achraf Hakimi,65000000.0,70000000.0
Anthony Gordon,eng ENG,FW,Newcastle Utd,Premier League,24,2001,26,25,"2,108",23.4,6,5,11,5,1,2,2,0,7.8,6.3,4.9,11.2,104,88,187,0.26,0.21,0.47,0.21,0.43,0.34,0.21,0.54,0.27,0.48,eng ENG,FW,Newcastle Utd,Premier League,24-041,2001,23.4,6,52,15,28.8,2.22,0.64,0.1,0.33,16.2,1,1,2,7.8,6.3,0.12,-1.8,-1.3,eng ENG,FW,Newcastle Utd,Premier League,24-041,2001,23.4,612,850,72.0,9404,3173,342,401,85.3,206,268,76.9,45,111,40.5,5,4.9,4.8,0.1,49,56,49,16,88,eng ENG,FW,Newcastle Utd,Premier League,24-041,2001,23.4,850,735,107,21,9,4,116,30,50,33,7,0,612,8,32,eng ENG,FW,Newcastle Utd,Premier League,24-041,2001,23.4,96,4.1,69,10,7,3,7,0,12,0.51,9,1,1,0,1,0,eng ENG,FW,Newcastle Utd,Premier League,24-041,2001,23.4,28,17,9,16,3,11,32,34.4,21,24,2,22,6,34,9,2,eng ENG,FW,Newcastle Utd,Premier League,24-041,2001,23.4,1100,16,110,413,595,122,1098,93,35,37.6,42,45.2,710,5230,2813,104,52,54,28,34,787,187,eng ENG,FW,Newcastle Utd,Premier League,24-041,2001,26,"2,108",81,80.8,23.4,25,83,8,1,31,0,1.69,40,30,10,0.43,0.43,39.9,28.7,11.2,0.48,0.59,eng ENG,FW,Newcastle Utd,Premier League,24-041,2001,23.4,2,0,0,19,58,7,116,6,17,1,0,0,88,5,7,41.7,Anthony,Gordon,Anthony Gordon,65000000.0,65000000.0
Federico Dimarco,it ITA,"DF,FW",Inter,Serie A,27,1997,26,25,"1,836",20.4,4,6,10,4,0,0,3,0,2.8,2.8,5.2,8.0,35,71,205,0.2,0.29,0.49,0.2,0.49,0.14,0.26,0.39,0.14,0.39,it ITA,"DF,FW",Inter,Serie A,27-147,1997,20.4,4,49,17,34.7,2.4,0.83,0.08,0.24,20.7,7,0,0,2.8,2.8,0.06,1.2,1.2,it ITA,"DF,FW",Inter,Serie A,27-147,1997,20.4,804,1059,75.9,13678,3884,399,458,87.1,319,398,80.2,73,153,47.7,6,5.2,4.1,0.8,40,39,35,17,71,it ITA,"DF,FW",Inter,Serie A,27-147,1997,20.4,1059,904,149,21,1,12,166,63,65,12,39,0,804,6,22,it ITA,"DF,FW",Inter,Serie A,27-147,1997,20.4,81,4.0,49,21,2,7,2,0,10,0.49,8,1,0,1,0,0,it ITA,"DF,FW",Inter,Serie A,27-147,1997,20.4,20,11,8,9,3,7,16,43.8,9,20,2,18,12,32,26,2,it ITA,"DF,FW",Inter,Serie A,27-147,1997,20.4,1228,27,213,450,578,75,1228,8,3,37.5,5,62.5,665,2614,1498,35,30,8,17,7,837,205,it ITA,"DF,FW",Inter,Serie A,27-147,1997,26,"1,836",71,65.8,20.4,25,73,5,1,8,2,2.04,43,15,28,1.37,0.33,36.1,17.4,18.6,0.92,-0.11,it ITA,"DF,FW",Inter,Serie A,27-147,1997,20.4,3,0,0,18,10,8,166,12,11,0,0,0,62,6,9,40.0,Federico,Dimarco,Federico Dimarco,60000000.0,60000000.0
Desire Doue,fr FRA,"FW,MF",Paris S-G,Ligue 1,19,2005,25,15,"1,429",15.9,5,6,11,5,0,0,1,0,3.6,3.6,6.5,10.1,84,110,178,0.31,0.38,0.69,0.31,0.69,0.23,0.41,0.64,0.23,0.64,fr FRA,"FW,MF",Paris S-G,Ligue 1,19-307,2005,15.9,5,48,17,35.4,3.02,1.07,0.1,0.29,18.4,0,0,0,3.6,3.6,0.08,1.4,1.4,fr FRA,"FW,MF",Paris S-G,Ligue 1,19-307,2005,15.9,741,903,82.1,10825,2587,422,466,90.6,254,307,82.7,34,68,50.0,6,6.5,4.5,-0.5,44,63,43,13,110,fr FRA,"FW,MF",Paris S-G,Ligue 1,19-307,2005,15.9,903,864,38,6,7,7,59,17,9,4,2,0,741,1,17,fr FRA,"FW,MF",Paris S-G,Ligue 1,19-307,2005,15.9,85,5.35,69,0,11,2,3,0,21,1.32,15,0,3,1,2,0,fr FRA,"FW,MF",Paris S-G,Ligue 1,19-307,2005,15.9,34,21,12,15,7,17,35,48.6,18,16,0,16,12,46,7,0,fr FRA,"FW,MF",Paris S-G,Ligue 1,19-307,2005,15.9,1166,3,117,527,540,103,1166,101,45,44.6,48,47.5,718,4568,2504,84,39,43,46,31,943,178,fr FRA,"FW,MF",Paris S-G,Ligue 1,19-307,2005,25,"1,429",57,56.7,15.9,15,77,5,10,28,1,2.68,42,17,25,1.57,-0.82,38.9,15.3,23.7,1.49,-0.45,fr FRA,"FW,MF",Paris S-G,Ligue 1,19-307,2005,15.9,1,0,0,24,34,1,59,12,21,1,0,0,80,7,9,43.8,Desire,Doue,Desire Doue,60000000.0,60000000.0
Vitinha,pt POR,MF,Paris S-G,Ligue 1,25,2000,25,17,"1,742",19.4,4,1,5,2,2,2,1,0,2.9,1.3,2.0,3.3,44,186,50,0.21,0.05,0.26,0.1,0.15,0.15,0.1,0.25,0.07,0.17,pt POR,MF,Paris S-G,Ligue 1,25-052,2000,19.4,4,19,7,36.8,0.98,0.36,0.11,0.29,25.6,1,2,2,2.9,1.3,0.07,1.1,0.7,pt POR,MF,Paris S-G,Ligue 1,25-052,2000,19.4,1840,1975,93.2,32369,7348,860,895,96.1,728,759,95.9,210,247,85.0,1,2.0,3.1,-1.0,22,197,28,3,186,pt POR,MF,Paris S-G,Ligue 1,25-052,2000,19.4,1975,1913,59,46,12,17,17,5,6,2,1,0,1840,3,18,pt POR,MF,Paris S-G,Ligue 1,25-052,2000,19.4,60,3.1,54,1,3,2,0,0,4,0.21,2,1,1,0,0,0,pt POR,MF,Paris S-G,Ligue 1,25-052,2000,19.4,36,19,11,23,2,21,41,51.2,20,24,6,18,13,49,16,2,pt POR,MF,Paris S-G,Ligue 1,25-052,2000,19.4,2125,46,293,1329,516,27,2123,37,25,67.6,9,24.3,1436,7109,3224,44,45,8,29,19,1786,50,pt POR,MF,Paris S-G,Ligue 1,25-052,2000,25,"1,742",70,69.1,19.4,17,89,16,8,29,1,2.6,55,17,38,1.96,0.11,50.2,19.0,31.2,1.61,-0.22,pt POR,MF,Paris S-G,Ligue 1,25-052,2000,19.4,1,0,0,7,12,0,17,13,19,0,0,0,119,0,3,0.0,,Vitinha,Vitinha,60000000.0,60000000.0
Dani Olmo,es ESP,"MF,FW",Barcelona,La Liga,26,1998,18,10,905,10.1,7,2,9,6,1,1,0,0,4.2,3.4,2.6,6.0,26,62,67,0.7,0.2,0.9,0.6,0.8,0.41,0.26,0.67,0.34,0.59,es ESP,"MF,FW",Barcelona,La Liga,26-334,1998,10.1,7,31,11,35.5,3.08,1.09,0.19,0.55,18.1,0,1,1,4.2,3.4,0.11,2.8,2.6,es ESP,"MF,FW",Barcelona,La Liga,26-334,1998,10.1,359,453,79.2,5523,1668,207,231,89.6,109,133,82.0,27,37,73.0,2,2.6,3.2,-0.6,17,34,23,1,62,es ESP,"MF,FW",Barcelona,La Liga,26-334,1998,10.1,453,435,16,7,9,6,12,0,3,2,1,0,359,2,15,es ESP,"MF,FW",Barcelona,La Liga,26-334,1998,10.1,41,4.07,29,0,7,3,2,0,8,0.79,2,0,3,1,2,0,es ESP,"MF,FW",Barcelona,La Liga,26-334,1998,10.1,14,9,8,4,2,3,11,27.3,8,5,3,2,2,16,10,1,es ESP,"MF,FW",Barcelona,La Liga,26-334,1998,10.1,582,16,57,250,282,57,581,37,20,54.1,12,32.4,369,1855,1020,26,29,5,30,20,471,67,es ESP,"MF,FW",Barcelona,La Liga,26-334,1998,18,905,50,33.5,10.1,10,64,0,8,33,2,2.17,30,6,24,2.39,0.88,26.6,11.2,15.4,1.53,0.24,es ESP,"MF,FW",Barcelona,La Liga,26-334,1998,10.1,0,0,0,13,17,1,12,2,9,1,0,0,37,7,7,50.0,Dani,Olmo,Dani Olmo,60000000.0,60000000.0
Warren Zaire-Emery,fr FRA,"MF,DF",Paris S-G,Ligue 1,19,2006,23,19,"1,656",18.4,1,1,2,1,0,0,2,0,1.4,1.4,0.9,2.4,38,103,77,0.05,0.05,0.11,0.05,0.11,0.08,0.05,0.13,0.08,0.13,fr FRA,"MF,DF",Paris S-G,Ligue 1,19-029,2006,18.4,1,14,7,50.0,0.76,0.38,0.07,0.14,20.0,0,0,0,1.4,1.4,0.1,-0.4,-0.4,fr FRA,"MF,DF",Paris S-G,Ligue 1,19-029,2006,18.4,1238,1344,92.1,17959,3708,721,749,96.3,426,453,94.0,47,68,69.1,1,0.9,1.0,0.1,14,86,6,1,103,fr FRA,"MF,DF",Paris S-G,Ligue 1,19-029,2006,18.4,1344,1282,60,16,1,16,7,43,0,0,0,0,1238,2,20,fr FRA,"MF,DF",Paris S-G,Ligue 1,19-029,2006,18.4,43,2.34,40,0,1,2,0,0,3,0.16,2,0,1,0,0,0,fr FRA,"MF,DF",Paris S-G,Ligue 1,19-029,2006,18.4,43,21,16,17,10,19,38,50.0,19,29,5,24,17,60,18,2,fr FRA,"MF,DF",Paris S-G,Ligue 1,19-029,2006,18.4,1531,40,265,838,438,27,1531,34,18,52.9,16,47.1,921,4838,2438,38,48,6,26,20,1191,77,fr FRA,"MF,DF",Paris S-G,Ligue 1,19-029,2006,23,"1,656",72,65.7,18.4,19,82,12,4,23,0,2.57,51,16,35,1.9,-0.08,43.7,19.2,24.5,1.33,-1.01,fr FRA,"MF,DF",Paris S-G,Ligue 1,19-029,2006,18.4,2,0,0,16,16,1,7,17,21,0,0,0,109,7,13,35.0,Warren,Zaire-Emery,Warren Zaire-Emery,60000000.0,60000000.0
Lois Openda,be BEL,"FW,MF",RB Leipzig,Bundesliga,25,2000,27,24,"2,076",23.1,8,5,13,8,0,1,4,1,8.7,7.9,3.0,10.9,50,41,192,0.35,0.22,0.56,0.35,0.56,0.38,0.13,0.51,0.34,0.47,be BEL,"FW,MF",RB Leipzig,Bundesliga,25-049,2000,23.1,8,70,30,42.9,3.03,1.3,0.11,0.27,16.2,1,0,1,8.7,7.9,0.11,-0.7,0.1,be BEL,"FW,MF",RB Leipzig,Bundesliga,25-049,2000,23.1,317,495,64.0,3968,838,196,275,71.3,72,113,63.7,17,30,56.7,5,3.0,1.9,2.0,24,18,16,1,41,be BEL,"FW,MF",RB Leipzig,Bundesliga,25-049,2000,23.1,495,474,18,3,1,5,23,3,0,0,0,0,317,3,26,be BEL,"FW,MF",RB Leipzig,Bundesliga,25-049,2000,23.1,58,2.51,37,0,3,10,8,0,9,0.39,5,0,0,2,2,0,be BEL,"FW,MF",RB Leipzig,Bundesliga,25-049,2000,23.1,8,4,2,4,2,2,7,28.6,5,17,1,16,5,13,12,0,be BEL,"FW,MF",RB Leipzig,Bundesliga,25-049,2000,23.1,763,12,46,312,410,138,762,57,16,28.1,29,50.9,428,2364,1200,50,19,32,71,25,603,192,be BEL,"FW,MF",RB Leipzig,Bundesliga,25-049,2000,27,"2,076",77,82.4,23.1,24,83,12,3,25,0,1.63,37,30,7,0.3,-0.1,32.9,34.3,-1.4,-0.06,0.39,be BEL,"FW,MF",RB Leipzig,Bundesliga,25-049,2000,23.1,4,1,1,25,64,23,23,5,4,3,0,0,47,17,26,39.5,Lois,Openda,Lois Openda,60000000.0,60000000.0
Ademola Lookman,ng NGA,"FW,MF",Atalanta,Serie A,27,1997,24,22,"1,703",18.9,13,5,18,12,1,1,4,0,9.2,8.4,5.3,13.7,104,50,227,0.69,0.26,0.95,0.63,0.9,0.49,0.28,0.76,0.44,0.72,ng NGA,"FW,MF",Atalanta,Serie A,27-168,1997,18.9,13,67,28,41.8,3.54,1.48,0.18,0.43,14.4,0,1,1,9.2,8.4,0.13,3.8,3.6,ng NGA,"FW,MF",Atalanta,Serie A,27-168,1997,18.9,522,711,73.4,7346,2051,327,376,87.0,135,189,71.4,34,72,47.2,5,5.3,6.0,-0.3,49,25,24,8,50,ng NGA,"FW,MF",Atalanta,Serie A,27-168,1997,18.9,711,636,72,4,2,1,85,7,61,28,19,0,522,3,28,ng NGA,"FW,MF",Atalanta,Serie A,27-168,1997,18.9,111,5.87,57,22,17,12,2,1,13,0.69,8,0,3,1,1,0,ng NGA,"FW,MF",Atalanta,Serie A,27-168,1997,18.9,27,13,9,12,6,8,15,53.3,7,16,0,16,2,29,3,1,ng NGA,"FW,MF",Atalanta,Serie A,27-168,1997,18.9,979,1,52,328,616,143,978,80,29,36.3,50,62.5,644,4129,2402,104,57,55,59,40,744,227,ng NGA,"FW,MF",Atalanta,Serie A,27-168,1997,24,"1,703",71,63.1,18.9,22,74,5,2,41,1,2.08,41,17,24,1.27,0.37,32.7,16.2,16.5,0.87,0.45,ng NGA,"FW,MF",Atalanta,Serie A,27-168,1997,18.9,4,0,0,25,16,25,85,2,13,0,0,0,51,11,11,50.0,Ademola,Lookman,Ademola Lookman,60000000.0,60000000.0
